Gene ID	CCDS ID
ENSMUSG00000064336	
ENSMUSG00000064337	
ENSMUSG00000064338	
ENSMUSG00000064339	
ENSMUSG00000064340	
ENSMUSG00000064341	
ENSMUSG00000064342	
ENSMUSG00000064343	
ENSMUSG00000064344	
ENSMUSG00000064345	
ENSMUSG00000064346	
ENSMUSG00000064347	
ENSMUSG00000064348	
ENSMUSG00000064349	
ENSMUSG00000064350	
ENSMUSG00000064351	
ENSMUSG00000064352	
ENSMUSG00000064353	
ENSMUSG00000064354	
ENSMUSG00000064355	
ENSMUSG00000064356	
ENSMUSG00000064357	
ENSMUSG00000064358	
ENSMUSG00000064359	
ENSMUSG00000064360	
ENSMUSG00000064361	
ENSMUSG00000065947	
ENSMUSG00000064363	
ENSMUSG00000064364	
ENSMUSG00000064365	
ENSMUSG00000064366	
ENSMUSG00000064367	
ENSMUSG00000064368	
ENSMUSG00000064369	
ENSMUSG00000064370	
ENSMUSG00000064371	
ENSMUSG00000064372	
ENSMUSG00000108907	
ENSMUSG00000103042	
ENSMUSG00000104254	
ENSMUSG00000104326	
ENSMUSG00000062037	
ENSMUSG00000082389	
ENSMUSG00000100974	
ENSMUSG00000093774	
ENSMUSG00000104325	
ENSMUSG00000101675	
ENSMUSG00000103796	
ENSMUSG00000062037	CCDS27790
ENSMUSG00000108888	
ENSMUSG00000095189	CCDS29663
ENSMUSG00000067951	
ENSMUSG00000111199	
ENSMUSG00000059371	
ENSMUSG00000052951	
ENSMUSG00000105357	
ENSMUSG00000108307	
ENSMUSG00000098257	
ENSMUSG00000109475	
ENSMUSG00000110663	
ENSMUSG00000093772	
ENSMUSG00000075198	
ENSMUSG00000103132	
ENSMUSG00000107153	
ENSMUSG00000086306	
ENSMUSG00000068959	CCDS39918
ENSMUSG00000101743	
ENSMUSG00000085077	
ENSMUSG00000064272	CCDS15042
ENSMUSG00000103178	
ENSMUSG00000108307	
ENSMUSG00000067951	
ENSMUSG00000101675	
ENSMUSG00000099913	
ENSMUSG00000068348	
ENSMUSG00000059371	CCDS48455
ENSMUSG00000095189	CCDS29660
ENSMUSG00000075198	
ENSMUSG00000095521	
ENSMUSG00000110614	
ENSMUSG00000093444	
ENSMUSG00000031133	
ENSMUSG00000085077	
ENSMUSG00000093628	
ENSMUSG00000015365	
ENSMUSG00000044317	CCDS20893
ENSMUSG00000075198	CCDS16244
ENSMUSG00000107045	
ENSMUSG00000026258	CCDS48305
ENSMUSG00000052951	
ENSMUSG00000101743	
ENSMUSG00000093628	
ENSMUSG00000025929	CCDS14842
ENSMUSG00000101743	
ENSMUSG00000022528	CCDS28098
ENSMUSG00000001424	
ENSMUSG00000109573	
ENSMUSG00000040236	CCDS22070
ENSMUSG00000109339	
ENSMUSG00000111388	
ENSMUSG00000106843	
ENSMUSG00000026258	
ENSMUSG00000094208	CCDS52099
ENSMUSG00000102552	
ENSMUSG00000084079	
ENSMUSG00000100499	
ENSMUSG00000022528	
ENSMUSG00000070342	
ENSMUSG00000094015	
ENSMUSG00000016526	CCDS15267
ENSMUSG00000079516	CCDS20255
ENSMUSG00000100499	
ENSMUSG00000022528	
ENSMUSG00000040236	CCDS22070
ENSMUSG00000091539	CCDS50208
ENSMUSG00000070342	
ENSMUSG00000051793	
ENSMUSG00000107243	
ENSMUSG00000103863	
ENSMUSG00000109348	
ENSMUSG00000109890	
ENSMUSG00000080059	
ENSMUSG00000051793	CCDS27791
ENSMUSG00000022528	
ENSMUSG00000016526	
ENSMUSG00000081244	
ENSMUSG00000109890	
ENSMUSG00000076480	
ENSMUSG00000098768	
ENSMUSG00000040843	CCDS15441
ENSMUSG00000109890	
ENSMUSG00000031380	CCDS30521
ENSMUSG00000100496	
ENSMUSG00000103553	
ENSMUSG00000098135	
ENSMUSG00000109890	
ENSMUSG00000106883	
ENSMUSG00000075000	CCDS23902
ENSMUSG00000101707	
ENSMUSG00000044086	CCDS39576
ENSMUSG00000040843	
ENSMUSG00000105476	
ENSMUSG00000096741	
ENSMUSG00000090699	
ENSMUSG00000110031	
ENSMUSG00000095890	
ENSMUSG00000108426	
ENSMUSG00000085463	
ENSMUSG00000108877	
ENSMUSG00000104426	
ENSMUSG00000081173	
ENSMUSG00000075000	
ENSMUSG00000111364	
ENSMUSG00000031380	
ENSMUSG00000107516	
ENSMUSG00000040843	
ENSMUSG00000092168	
ENSMUSG00000105734	
ENSMUSG00000040843	
ENSMUSG00000036721	CCDS26273
ENSMUSG00000102304	
ENSMUSG00000040843	
ENSMUSG00000082145	
ENSMUSG00000075197	
ENSMUSG00000081683	CCDS51652
ENSMUSG00000036721	CCDS26273
ENSMUSG00000076481	
ENSMUSG00000040843	
ENSMUSG00000075197	CCDS16245
ENSMUSG00000046486	
ENSMUSG00000076481	
ENSMUSG00000096988	
ENSMUSG00000102302	
ENSMUSG00000046486	CCDS48456
ENSMUSG00000073374	
ENSMUSG00000099518	CCDS38807
ENSMUSG00000073374	
ENSMUSG00000110250	
ENSMUSG00000001424	
ENSMUSG00000108621	
ENSMUSG00000086547	
ENSMUSG00000098391	
ENSMUSG00000049806	
ENSMUSG00000052214	CCDS20894
ENSMUSG00000059708	
ENSMUSG00000098391	
ENSMUSG00000108621	
ENSMUSG00000049806	CCDS26604
ENSMUSG00000059423	CCDS38963
ENSMUSG00000052214	
ENSMUSG00000017677	CCDS25118
ENSMUSG00000059423	
ENSMUSG00000106229	
ENSMUSG00000052214	
ENSMUSG00000087258	
ENSMUSG00000105797	
ENSMUSG00000108621	
ENSMUSG00000040396	CCDS40217
ENSMUSG00000105797	
ENSMUSG00000108621	
ENSMUSG00000093941	CCDS71902
ENSMUSG00000096215	CCDS57017
ENSMUSG00000040396	CCDS40217
ENSMUSG00000104150	
ENSMUSG00000021384	CCDS26498
ENSMUSG00000111752	
ENSMUSG00000026096	CCDS14953
ENSMUSG00000111752	
ENSMUSG00000096215	
ENSMUSG00000106515	
ENSMUSG00000109393	
ENSMUSG00000108879	
ENSMUSG00000054400	CCDS40450
ENSMUSG00000021384	CCDS56880
ENSMUSG00000059708	CCDS40924
ENSMUSG00000109434	
