Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000261657	SLC25A26	115286	1
ENSG00000223116	AL157931.1		1
ENSG00000233440	HMGA1P6		2
ENSG00000207157	RNY3P4		1
ENSG00000229483	LINC00362		2
ENSG00000252952	RNU6-58P	100873766	1
ENSG00000235205	TATDN2P3		1
ENSG00000232849	LINC00363		1
ENSG00000236803	SDAD1P4		1
ENSG00000232163	RPLP1P13		2
ENSG00000252365	SNORD22		1
ENSG00000229558	SACS-AS1	100506680	1
ENSG00000235784	HNRNPA1P29		2
ENSG00000224394	GPC6-AS2		1
ENSG00000212559	RNA5SP35		1
ENSG00000232977	LINC00327	100506697	2
ENSG00000236520	GPC6-AS1	100873972	2
ENSG00000227893	LINC00352		1
ENSG00000212057	AL139318.1		1
ENSG00000222129	RNA5SP36		1
ENSG00000232102	MTCO3P2		1
ENSG00000242037	RN7SL585P		2
ENSG00000238230	LINC00391		1
ENSG00000227640	SOX21-AS1	100507533	2
ENSG00000205861	C1QTNF9B-AS1		7
ENSG00000235768	BRD7P5		1
ENSG00000237924	RPL21P112		1
ENSG00000260962	LINC00557		1
ENSG00000252335	RNU6-62P		1
ENSG00000238463	snoU13		1
ENSG00000223298	RNY3P8		1
ENSG00000196593	ANKRD20A19P		5
ENSG00000200211	RNY4P27		1
ENSG00000271492	MEMO1P5		1
ENSG00000223392	CLDN10-AS1	100874194	1
ENSG00000228741	RP11-309I15.1	221178	2
ENSG00000247400	DNAJC3-AS1	100289274	3
ENSG00000225674	IPO7P2		1
ENSG00000229622	MTND5P2		1
ENSG00000252695	MIR2276	100313842	1
ENSG00000227213	SPATA13-AS1	100874231	1
ENSG00000227714	MTND6P18		1
ENSG00000240868	C1QTNF9-AS1		1
ENSG00000232373	MTCYBP3		2
ENSG00000234627	NUS1P3		2
ENSG00000251901	snR65		1
ENSG00000261498	LINC00566		1
ENSG00000226977	HMGN1P24		1
ENSG00000233545	CYCSP33		1
ENSG00000242614	RN7SL164P		2
ENSG00000233273	AMMECR1LP1		1
ENSG00000205822	TPTE2P6		6
ENSG00000235137	HSP90AB6P		1
ENSG00000243300	LINC00359	100887754	2
ENSG00000266216	AL359538.2		1
ENSG00000244615	PSPC1P2		1
ENSG00000234267	TULP3P1		2
ENSG00000243008	RP11-556N21.1		2
ENSG00000272329	RP11-65L19.4		1
ENSG00000211508	AL359538.1		1
ENSG00000222472	RN7SKP7		1
ENSG00000207474	RNY1P7		1
ENSG00000252154	SNORD112		1
ENSG00000225404	RPL26P34		2
ENSG00000238522	snoU13		1
ENSG00000233124	LINC00456		1
ENSG00000231417	IRX1P1		2
ENSG00000202290	RNA5SP37		1
ENSG00000271625	PSMA6P4		1
ENSG00000226695	ANKRD20A10P		1
ENSG00000226134	RP11-120E13.1		1
ENSG00000238407	snoU13		1
ENSG00000233291	RPL7AP61		1
ENSG00000270725	RP11-383H17.4		1
ENSG00000253771	TPTE2P1		1
ENSG00000232217	FTLP8		1
ENSG00000222969	RN7SKP8		1
ENSG00000263399	MIR3170	100422881	1
ENSG00000269189	RP11-573N10.1		1
ENSG00000269599	RP11-261P24.2		1
ENSG00000251299	SLC25A15P3		1
ENSG00000231194	FARP1-AS1		1
ENSG00000271437	RP11-295B17.6		1
ENSG00000232858	RPL34P27		1
ENSG00000224418	STK24-AS1		1
