EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]	Ensembl Gene ID
			ENSMUSG00000085172
			ENSMUSG00000063514
			ENSMUSG00000063514
			ENSMUSG00000089983
69864	NM_027239		ENSMUSG00000013653
			ENSMUSG00000066475
			ENSMUSG00000083766
			ENSMUSG00000081773
			ENSMUSG00000083201
			ENSMUSG00000086991
			ENSMUSG00000086312
624860	NM_001045542		ENSMUSG00000058287
			ENSMUSG00000084905
			ENSMUSG00000082287
		NR_045906	ENSMUSG00000084966
			ENSMUSG00000085289
			ENSMUSG00000085510
			ENSMUSG00000095150
			ENSMUSG00000095150
			ENSMUSG00000081695
403200	NM_207527		ENSMUSG00000052642
			ENSMUSG00000081518
			ENSMUSG00000096699
268903			ENSMUSG00000048490
268903			ENSMUSG00000048490
268903			ENSMUSG00000048490
268903			ENSMUSG00000048490
268903	NM_173440		ENSMUSG00000048490
268903			ENSMUSG00000048490
209540	NM_001040434		ENSMUSG00000085584
209540			ENSMUSG00000085584
			ENSMUSG00000086725
276905			ENSMUSG00000057219
276905			ENSMUSG00000057219
276905			ENSMUSG00000057219
276905	NM_177778		ENSMUSG00000057219
			ENSMUSG00000083298
			ENSMUSG00000056849
			ENSMUSG00000080827
18329	NM_146878		ENSMUSG00000043314
			ENSMUSG00000082721
			ENSMUSG00000084959
			ENSMUSG00000082416
665998	NM_001085548		ENSMUSG00000078262
			ENSMUSG00000048188
			ENSMUSG00000085165
			ENSMUSG00000097891
			ENSMUSG00000084842
670464	NM_001099311		ENSMUSG00000078261
14109			ENSMUSG00000050299
13680			ENSMUSG00000015023
13680			ENSMUSG00000015023
13680	NM_007916		ENSMUSG00000015023
257932	NM_001011770		ENSMUSG00000050813
			ENSMUSG00000098244
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184			ENSMUSG00000020840
104184	NM_178645		ENSMUSG00000020840
104184			ENSMUSG00000020840
			ENSMUSG00000080774
			ENSMUSG00000073569
			ENSMUSG00000051002
			ENSMUSG00000098284
			ENSMUSG00000098284
69480	NM_001033149		ENSMUSG00000042734
		NR_045438	ENSMUSG00000046487
			ENSMUSG00000046487
			ENSMUSG00000097965
66259	NM_025451		ENSMUSG00000046447
		NR_040595	ENSMUSG00000087625
100502887	NM_001011861		ENSMUSG00000058807
100502887			ENSMUSG00000058807
16570	NM_008445		ENSMUSG00000020668
30940	NM_013918		ENSMUSG00000022867
			ENSMUSG00000087020
14945			ENSMUSG00000042385
14945	NM_008196		ENSMUSG00000042385
14945			ENSMUSG00000042385
670472	NM_001099312		ENSMUSG00000078260
			ENSMUSG00000086600
			ENSMUSG00000086600
			ENSMUSG00000086600
			ENSMUSG00000086600
229228	NM_153561		ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
229228			ENSMUSG00000050174
338372	NM_001174107		ENSMUSG00000042724
670482	NM_001099313		ENSMUSG00000078259
			ENSMUSG00000085939
			ENSMUSG00000085939
			ENSMUSG00000085939
22786	NM_009580		ENSMUSG00000024734
22786			ENSMUSG00000024734
234733	NM_001190786		ENSMUSG00000033658
234733	NM_172284		ENSMUSG00000033658
234733	NM_001190800		ENSMUSG00000033658
			ENSMUSG00000098058
56486			ENSMUSG00000018567
56486			ENSMUSG00000018567
56486			ENSMUSG00000018567
56486	NM_019749		ENSMUSG00000018567
11886			ENSMUSG00000031591
11886			ENSMUSG00000031591
11886			ENSMUSG00000031591
11886			ENSMUSG00000031591
11886	NM_019734		ENSMUSG00000031591
			ENSMUSG00000098000
			ENSMUSG00000069376
			ENSMUSG00000098119
			ENSMUSG00000079546
237422	NM_001013441		ENSMUSG00000035620
237422	NM_183172		ENSMUSG00000035620
75718			ENSMUSG00000028753
75718			ENSMUSG00000028753
