Gene ID	Associated Gene Name	EntrezGene ID
ENSMUSG00000064336	mt-Tf	
ENSMUSG00000064337	mt-Rnr1	
ENSMUSG00000064338	mt-Tv	
ENSMUSG00000064339	mt-Rnr2	
ENSMUSG00000064340	mt-Tl1	
ENSMUSG00000064341	mt-Nd1	17716
ENSMUSG00000064342	mt-Ti	
ENSMUSG00000064343	mt-Tq	
ENSMUSG00000064344	mt-Tm	
ENSMUSG00000064345	mt-Nd2	17717
ENSMUSG00000064346	mt-Tw	
ENSMUSG00000064347	mt-Ta	
ENSMUSG00000064348	mt-Tn	
ENSMUSG00000064349	mt-Tc	
ENSMUSG00000064350	mt-Ty	
ENSMUSG00000064351	mt-Co1	17708
ENSMUSG00000064352	mt-Ts1	
ENSMUSG00000064353	mt-Td	
ENSMUSG00000064354	mt-Co2	17709
ENSMUSG00000064355	mt-Tk	
ENSMUSG00000064356	mt-Atp8	17706
ENSMUSG00000064357	mt-Atp6	17705
ENSMUSG00000064358	mt-Co3	17710
ENSMUSG00000064359	mt-Tg	
ENSMUSG00000064360	mt-Nd3	17718
ENSMUSG00000064361	mt-Tr	
ENSMUSG00000065947	mt-Nd4l	17720
ENSMUSG00000064363	mt-Nd4	17719
ENSMUSG00000064364	mt-Th	
ENSMUSG00000064365	mt-Ts2	
ENSMUSG00000064366	mt-Tl2	
ENSMUSG00000064367	mt-Nd5	17721
ENSMUSG00000064368	mt-Nd6	17722
ENSMUSG00000064369	mt-Te	
ENSMUSG00000064370	mt-Cytb	17711
ENSMUSG00000064371	mt-Tt	
ENSMUSG00000064372	mt-Tp	
ENSMUSG00000093774	Vmn1r-ps151	
ENSMUSG00000067951	Vmn1r227	
ENSMUSG00000108907	Gm4541	
ENSMUSG00000098257	Gm27169	
ENSMUSG00000068348	Gm10238	
ENSMUSG00000103042	Gm2719	
ENSMUSG00000101743	Gm28249	
ENSMUSG00000104254	Trbv27	
ENSMUSG00000095189	Olfr1472	258685
ENSMUSG00000104326	Trbv28	
ENSMUSG00000095521	Astx5	
ENSMUSG00000107153	Gm38404	
ENSMUSG00000103796	Gm38094	
ENSMUSG00000025929	Il17a	16171
ENSMUSG00000064272	Gpbar1	227289
ENSMUSG00000079516	Reg3a	19694
ENSMUSG00000110663	RP24-345M22.2	
ENSMUSG00000022528	Hes1	15205
ENSMUSG00000108307	Ceacam-ps1	
ENSMUSG00000062037	Olfr285	257943
ENSMUSG00000062037	Olfr285	404314
ENSMUSG00000026258	3110079O15Rik	73234
ENSMUSG00000082389	Mkrn1-ps1	
